name;spelling;born;country;start_year;end_year;played_1v1;played_tg;voobly_elo;earnings;teams
TheViper;viper;1991;no;2011;-1;2239;166;2729;351051.99;Knights of the Realm, BuzZ, Revenge of Knight, TyRanT, Team Secret, GamerLegion
Hera;;1999;ca;2013;-1;4970;1129;2673;322072.04;WolfpacK, The Immortals, Heresy, Aftermath, Tempo Storm, GamerLegion
Liereyy;;2002;at;2016;-1;1325;51;2625;232812.43;CZ,Aftermath,Tempo Storm,WeSports
TaToH;;1989;es;2001;-1;1049;2447;2630;215652.23;WolfpacK,TyRanT,Team Secret,GamerLegion,Devil's Justice
Yo;mr_yo,mr yo;1992;cn;2011;-1;3574;1720;2693;175304.47;PBT,SY,YinYang,White Wolf Palace,LingYuan
DauT;;1985;rs;2002;-1;2876;189;2638;160556.92;The Legion Clan,ArgoNaut,CsI,Viper,TyRanT,,Team Secret,GamerLegion
JorDan_AoE;Jordan_23,Jordan;1991;de;2002;2024;2082;261;2546;109372.08;RuFF,Viper,Revenge of Knight,TyRanT,Team Secret,GamerLegion
MbL;;1994;no;2013;-1;6944;474;2742;102581.54;Run Forrest Run,WolfpacK,Nadya's Boys,Aftermath,Taiwan Aoe Gamer
ACCM;;1989;vn;2005;-1;3858;257;2550;83941.7;Vietnam Legends,mYinsanity
Villese;;1994;fi;2014;-1;3482;972;2568;82873.35;Suomi
Grunt;iamgrunt,mossar;1983;kr;2001;2011;;;;74430.5;CNS,Berserkers,TyRanT
Vinchester;vinch;1998;ru;2010;-1;2025;937;2479;72650.37;WolfpacK,Vikings,SalzZ
Nicov;nivoc;1992;ar;2001;-1;2430;1562;2607;64194.75;Dreamers,WolfpacK,Aftermath,Unforseen Consequences,Bots United
dogao;;1991;br;2004;-1;2414;645;2572;58024.5;Viper,Revenge of Knight,The Legion Clan,WolfpacK,Lords of Skulls,SY,Brazukas,Heresy,Los Machos,CDUB Esports,TSI,FellowSheep Gaming
vivi;Fat_Dragon ;1993;cn;2012;-1;707;1418;2722;45136.85;Frantic,Chao Ren,_AreS_,SY,YinYang,White Wolf Palace,LingYuan
Capoch;;1987;ar;2001;-1;2206;184;;42960.71;RiZen,The Legion Clan,Infinity Legends,Imperiales Team
Hearttt;heart,heartt;1996;pe;2012;-1;4437;129;2544;42139.63;Aftermath,WeSports
Sitaux;;1999;fr;2015;-1;1869;5027;2366;41338.05;Heresy,mYinsanity,Taiwan Aoe Gamer
Chris;L_clan_chris;1987;ca;2001;-1;1577;398;2514;40188.69;RiZen,The Legion Clan,The Immortals,Revenge of Knight,WolfpacK,GTL,Infinity Legends,Unforseen Consequences
slam;;1988;ca;2009;-1;3987;1527;2576;35329.96;The Immortals,Revenge of Knight,TyRanT,Team Secret,GamerLegion,Los Machos
BacT;;1991;vn;2007;2023;2707;561;2575;34168.38;TyRanT,Vietnam Legends,Infinity Legends
Halen;;1984;jp;2001;2011;;;;33987.64;CNS,Berserkers,Unholy Disciples,Poison of Zone,TyRanT
Barles;_barles_;;pl;2013;-1;3201;732;2375;31594.77;The Jedi Masters,The Amigos
Sebastian;sebastian2002;2002;uy;2017;-1;2914;939;;30720.2;DarkSidE,Fox
Lyx;;1986;cn;2010;-1;2666;4137;2458;29304.5;CSC,Frantic,SY,YinYang,White Wolf Palace,LingYuan
TheMax;Max;;fi;2012;-1;1132;3521;2599;28969.58;Suomi
RiuT;;1993;br;2003;2023;671;194;2475;27415.74;Revenge of Knight,TyRanT,Lords of Skulls,Brazukas,Infinity Legends,KGB
F1re;;1988;br;2009;-1;4819;1749;2551;26186.63;FOX (brazil team),Fully Torqued,TyRanT,Brazukas,KGB
miguel;;1992;br;2007;-1;2565;782;2476;25745.52;Lords of Skulls,Brazukas,Heresy,Los Machos,Fs,Unforseen Consequences,Bots United
Mozory;;1983;kr;2000;2001;;;;25050;
FreakinAndy;;1997;at;2020;-1;3036;1540;;24604.77;Freakin,mYinsanity
Kaohen;;1977;tw;2000;2004;;;;20020;
IamKmkm;;1984;tw;2001;2002;;;;20000;
Valas;;;fi;2015;-1;2340;1272;2319;19970.54;The Amigos,Suomi
kkab;kkab__;;kr;2003;2015;;;2176;19543.59;CNS,Berserkers,TyRanT
Koven;;1980;kr;2000;2014;;;;17675;Arch,Berserkers,TyRanT
Tim;Tim_;1981;cn;2008;-1;945;1218;2577;17500.9;CyZ,CSC,RVK,Frantic,Chinese Kung Fu,Chao Ren,White Wolf Palace
IamJordan;Jcool;;tw;;;;;;16686.51;The Legion Clan
saymyname;yellow;1989;vn;2005;-1;3670;5211;2533;15144.59;Vietnam Legends
Daniel;;1995;us;2012;-1;3418;430;2424;13908.62;Poison of Zone,Alliance,Brazukas,PetGunPet,Infinity Legends,White Wolf Palace,mYinsanity
Rubenstock;;1996;fi;2011;-1;4293;1040;2366;13167.2;Suomi
Ganji;;1998;se;2015;-1;330;371;2035;13094.28;The Jedi Masters,Rulers of Rome,The Amigos
Margougou;margou;2002;fr;2020;-1;2231;2029;;12720.57;mYinsanity,Fox
KingstoNe;kingston;;mx;2009;-1;3195;2477;1906;12441.01;Combi
Dark;;2004;ru;2013;-1;3597;461;2048;12373.3;SalzZ,3D!Clan,Fox,Ybati
classicpro;;1995;ua;2013;-1;2324;981;2280;12355.07;Vikings,SalzZ
LaaaaaN;lan;1996;es;2014;-1;1240;267;2518;12049.98;Los Machos,Dreamers,Heresy
Chun_Yu;chunyu,yanzi;1986;hk;2001;2007;;;;11902.5;Berserkers,Poison of Zone
paladin;fengxin;;cn;2009;-1;561;5958;2343;11747.67;Noobs From QQ,Chinese Kung Fu,SY,White Wolf Palace
IamKen;;;tw;2001;2002;;;;11466.29;
Jidba;;1986;gr;2001;-1;118;809;;11330.83;The Legion Clan,pG,Exalted,MorTaL,ELLaS,ArgoNaut,CsI,Berserkers,TyRanT
Zuppi;;1990;fi;2004;2022;1871;91;2466;11063.71;The Wolf Pack,Nadya's Boys,Suomi
St4rk;;1991;br;2002;-1;1741;539;2437;10910.29;Viper,Vietnam Legends,Revenge of Knight
Mihai06;mihai;2003;ro;2020;-1;5099;1959;;10644.51;Fox
LoveCheng;;;cn;2012;-1;;;;10606.86;Noobs From QQ,Chinese Kung Fu, SY
Nili_AoE;Nili;1988;de;2002;-1;2761;151;2330;10408.25;Tsunami,newChapter,Heresy,Team Secret,GamerLegion,Bots United
Nv_;nv;;kr;;;;;;9403.2;
The_Dragonstar;dragonstar;1999;in;2017;-1;3029;3975;2221;9098.7;Dark Empire,InDuS,BLACKSAILS
Bender;;1983;de;2002;2015;;;;9069.45;pG,The Legion Clan
Sora Kuma;;1999;tw;2018;-1;1726;1404;2000;8816.54;Meow mi,Kyo All Fallen,Taiwan Aoe Gamer
Tammy;Ding;;hk;2007;2016;;;;8070;MyST,Poison of Zone
PROject_Belgium;bugum;1997;be;2014;2023;3886;191;2420;8064.81;PetGunPet,Infinity Legends,mYinsanity,Alliance
Modri;;;si;2013;-1;1578;593;2318;7718.16;The Amigos
repard;;;ru;2013;-1;2679;692;2352;7632.08;Ybati
North;;;gb;;;;;;7500;
GX_Iron;Iron;;us;;;;;;7500;GX
True;;;us;2002;-1;632;760;;7465.88;QuEnDi,The Legion Clan
BruH;;1991;br;2006;-1;3847;560;2356;7445.69;Revenge of Knight,Lords of Skulls,DNA,The Legion Clan,Bots United,The Brotherhood Kappa,NTC,Arcano,QuEnDi,Unforseen Consequences,Bots United
BadBoy;badb0y_;1991;vn;2009;-1;1011;1230;2326;7431.84;Vietnam Legends
jibatong;jbt;;cn;2009;-1;2988;2083;2524;6474.78;SY,White Wolf Palace,LingYuan
GeeK;tea,tui_dominus;;gb;2001;2006;;;;6452.67;RiZen,The Legion Clan,CsI,zilla
TheCode;code;1989;tr;2015;-1;;;;6351.33;SuPeRNovA
Running;;1995;de;2018;-1;3722;1634;2018;6209.5;
FeAge;;1991;br;2002;-1;1263;895;2321;6033.14;Revenge of Knight,The Immortals,WolfpacK,Fs,Imba
Cl3m3nT;;1997;fr;2010;-1;1234;747;2051;6028.89;WOTC,Fox,FrCo
Bad Koala;;1996;cn;2020;-1;2354;2543;;5963.95;White Wolf Palace,LingYuan
RIP_DREAMS;;1987;nl;2002;2011;;;;5950;The Legion Clan
GoKu;;1990;br;2002;-1;736;2229;2302;5937.31;Bots United,The Legion Clan,StorM,Fully Torqued,Brazukas,KGB
Ruso;;1985;es;2003;2013;;;;5916.18;CsI,ThuG Life,The Legion Clan
SongSong;;1993;vn;2015;-1;2978;499;2402;5849;DarkSidE,Vietnam Legends
Kasva;K4SVA;1994;tr;2009;-1;7412;548;2298;5795.6;Hot Young Masters,Heresy,1907 Fenerbah�e Esports,?stanbul Wildcats
CL;CL_;;cn;;2021;421;8;2425;5327.35;Chinese Kung Fu, Chao Ren, Frantic, White Wolf Palace
Alive;;1985;br;2001;-1;3833;1788;2605;5317.06;KGB,The Legion Clan,Revenge of Knight
mentalist;;;ca;2010;-1;1686;876;;5177.88;Lords of Skulls,Unforseen Consequences,Brazukas,Nadya�s Boys
Vodka_L;Vodka;1996;it;2012;-1;1626;987;2313;5174.41;Rulers of Rome
Mimmox;dumbo;;it;2001;2002;;;;5025;The Legion Clan
Buddha;;1987;bg;2002;2007;;;;5001.79;Se7eN,Olympus,The Legion Clan
Fedex;;1993;ar;2003;-1;934;1193;2240;4842.84;ReBeL,Clan Nerd,Clan Arg,Dreamers,Dark Age Rules,Gaucho
Lucky Rox;;2000;ar;2019;-1;1570;832;2018;4820.84;Latin Kingdoms,DarkSidE,Dreamers
Babaorum;;1990;fr;2001;-1;4711;693;2363;4678.21;
NO_23;_chy_23k,Miss_Xue;;cn;;-1;440;6383;;4476.23;SY,King
El KhaLeN;Khalen;;fr;;;19;44;;4453.24;
CooL;;1992;vn;2011;-1;268;138;2374;4331.81;Vietnam Legends
Spring;;1987;us;1999;-1;4723;2044;2344;4315.4;Berserkers,Viper,BuzZ,Revenge of Knight,Heresy,Dark Empire
jamesXX;;;cn;;;;;;4290.52;
Ciskhan;;2003;fr;2021;-1;2717;1483;;4153.16;Fox
Sobek;;1996;cl;2011;-1;1981;2069;2358;4075.33;The Immortals,Lords of Skulls,NHN,Chilean Masters,Rulers of Rome,Imperiales Team,QueNaNiNa,Team Honor,DarkSidE
Kaiser_Willhelm;;;se;2000;2002;;;;4000; Myth
Rami;blade,ramirez;;il;2003;2006;;;;3991.67;RiZen,CsI,StorM,ArgoNaut
SY;;;cn;;-1;;;;3988.14;SY
NorthernPike;Pike;1995;fi;;2022;479;234;2337;3952.37;Nadya�s Boys,Suomi
XS_Fai;fai;;hk;;;;;;3846;
DracKeN;dracont;1995;cz;2011;-1;9513;401;2368;3770.21;Clown Legion
Kamigawa;;1995;it;2014;-1;350;2012;2122;3764.54;Rulers of Rome
I2aGE;Rage;1984;gb;1999;-1;1035;533;;3721.3;The Legion Clan,SuPeRNovA,QuEnDi
geoffrey;;;cn;;2019;;;;3704.13;CSC,PBT,Chinese Kung Fun,Chaos Run,SY
Rukie;;;es;2003;2007;;;;3676.34;WolF,Olympus,ThuG Life
xiaoxiong;;;cn;1999;-1;1438;1171;2174;3673.04;SY,White Wolf Palace
GKT_cloud;;;tw;;-1;4221;3589;2384;3570.81;Alliance,Malevolent,Kyo All Fallen,Taiwan Aoe Gamer
c.salette;;;fr;2020;-1;6419;154;;3545.51;Fox
PeEL;peel;;pl;2002;2015;;;;3539.29;PL,DnB
Ra;venom,ra_;;ca;2005;-1;347;201;2363;3506.55;TsC,The Immortals
WraTh_;;;br;;2016;;;;3505.96;CNA,Revenge of Knight,Olympus,The Legion Clan
DBD_Jinx;jinx;;us;;;;;;3500;
TheSniper;;1990;fr;2006;2023;2857;948;;3471.72;
2scareD;2s;;se;2001;2011;;;;3432.62;The Legion Clan
AntagonisT;IAnTaGoNiStI ;;ru;2020;-1;1123;1127;;3413.06;Time To Trolling,SalzZ
Frost_9;;2000;se;2008;-1;1241;184;;3375.79;FRoST,Freakin,SuPeRNovA
MuSe;crouvex;;de;2001;2002;;;;3375;pG,FDK
Lojza;;1996;cz;2011;2019;;;;3363.62;Nadya's Boys,wW,CZ
IORI;;;cn;2004;-1;185;3855;;3231.67;Berserkers,MyST
Gary;;1989;ar;2005;-1;339;3007;2200;3177.53;Bots United,Vikingos N�madas,Viper,Clan Arg,WolfpacK,Dreamers
T90Official;t90;1993;us;2015;-1;3482;1000;2207;3143.11;Los Machos
Dziamdziak;;1986;pl;2000;-1;2473;1898;;3122.75;PL,The Legion Clan
Monoz;;1993;ar;2010;-1;4032;2023;2301;3088.18;Dark Age Rules,XEVER,Dreamers
Crexis;;;ca;;;;;;3050;
Goodboy1;goodboy;1984;cn;2000;2013;;;2340;3041.23;CSC,PBT,SY,Noobs From QQ
Osiris;kraken;1981;nl;2001;2003;;;;2975;Myth,DevilZ,The Legion Clan,FDK
Daywalker;;1984;gb;1999;-1;232;48;;2897.87;SuPeRNovA,KGB
Loko;;;dk;2000;2001;;;;2863.27;DevilZ,Myth
teutonic_tanks;;;at;2015;-1;158;511;;2850.56;
Gabi;;1994;br;;-1;4071;3314;2152;2780.18;DarkSidE
Extacy;Sutra;;us;2002;2005;;;;2775;StorM,The Legion Clan
Annotoph;;1993;de;2014;-1;418;4039;;2664.33;Deceptive Cadence,mYinsanity
HigH;;;dk;2000;2001;;;;2619.89;DevilZ
Lucho;;2006;ar;2022;-1;5000;886;;2591.83;Team Maswi,Dreamers
HimT;;;hk;;;;;;2564;
Dante;;;us;2000;2002;;;;2550;StorM
Abu;Air_M_Abu,Air_Abu;;cn;2008;-1;;;2349;2482.73;Air,SY,White Wolf Palace
Fish;;;vn;2013;2023;;;2327;2479.85;Vietnam Strategy
IamOK;;;cn;2012;-1;1214;2454;;2452.66;Noobs From QQ,Chinese Kung Fu,SY,White Wolf Palace
RaYaN;;1981;kz;1999;2003;;;;2450;Malevolent,The Legion Clan
StrayDog;;;cn;1999;-1;2307;4301;;2413.78;CNA,Ares,White Wolf Palace,King
HawFchik;;;kz;;;;;;2350;
Whitecourt;;1998;cl;2009;-1;1579;2241;2211;2301.73;InLove,Chilean Masters,Rulers of Rome,QueNaNiNa,Team Honor
chart;riskydice;1997;jp;2015;-1;2138;469;2449;2294.95;Alliance,DarkSidE
Lavie_Head;Nadya;;by;2011;2021;1163;66;1803;2244.45;Vikings,Nadya's Boys
Whoop;;;cn;2015;-1;2317;8;;2210.33;Ares,White Wolf Palace
Shiri;;;kr;;;;;;2208.49;
Jaksal;;;kr;;;;;;2208.49;
OLADUSHEK;;1995;by;2014;-1;1394;381;1888;2193.97;Russia F,Sweety Boys
Uzzi;;1997;mx;2015;-1;4445;2871;2202;2179.34;Sons of the Sun,Combi
xiaofan;xiaofan;1990;cn;2005;-1;1119;375;2466;2172.16;XD,Frantic,Chao Ren,SY
SeOul;Marcelo;2002;vn;2013;-1;688;1609;2144;2154.22;Vietnam Strategy
Praxes;;1985;us;2006;2019;;;1829;2143.7;KGB
Th�nh C? Qu?ng Tr?;hope,quang tri;;vn;2022;-1;4410;223;;2102.81;Vietnam Strategy
Noisick;;1996;cl;2012;-1;1303;897;2200;2098.88;InLove,Chilean Masters,Alliance,Rulers of Rome,QueNaNiNa,Team Honor
Overtaken;YnA;2000;ee;2014;-1;3855;38;2352;2084.67;Alliance
z40;;1996;tw;2018;-1;4093;1468;2065;2055.56;Taiwan Aoe Gamer
Zastosy;;1994;pl;2020;-1;282;1602;;2042.02;
Somero;;;cz;2013;-1;1066;1138;1642;2021.21;CZ,The Amigos
Ugnis;;1984;lt;2001;2009;;;;2000;RiZen,The Legion Clan
SHS_Disciple;;;us;;;;;;2000;
Biry;;1985;ar;2015;-1;793;369;2148;1982.04;KaoS,Rulers of Rome,Clan Arg,DarkSidE
NoBoDy;;;kz;;;;;;1950;
Andorin;;;de;2010;2023;847;773;2000;1938.02;newChapter
Windy;_SWJ_Windy;;cn;2003;2013;;;;1935.71;SWJ,SY
Matt107;;1999;gb;;-1;42;612;;1929.99;
WraTh;;1984;ie;2003;2006;;;;1900.02;The Legion Clan
GP;GaryPayton ;;br;2000;2003;;;;1900;The Legion Clan
MarineLorD;;1995;fr;2019;2021;1147;466;;1882.58;
Kozmonot;Dr.Kozmonot;2000;tr;2020;-1;1977;3304;;1875.4;HOWL Esports,Hot Young Masters,BLACKSAILS
Good_Game;;2004;ru;2019;-1;7429;1722;;1864.34;SalzZ,Russia F
BT4;;;cn;2004;2008;;;;1825;MyST
sincetao;;;cn;;;;;;1816.67;
XraY;;;us;;;;;;1814.29;
DeathKnight;;;fr;;;;;;1785.32;NG
Argh;;;pl;2020;-1;3554;221;;1725.68;
Imperio_CC;;;de;2020;-1;194;1704;;1691.66;
Fanjita;fayt;1988;gb;2003;-1;11;2410;;1691.1;SaTaN,Lone,AdiX,PUB
WaRRioR;;1993;ru;2013;-1;2320;798;2029;1684.8;Vikings,SalzZ
wide;;2003;ru;2020;-1;4524;715;;1652.47;SalzZ
