name;spelling;born;country;start_year;end_year;played_1v1;played_tg;voobly_elo;earnings;teams
_hallis;hallis;1999;gb;2010;-1;3534;606;2214;1642.15;Imba,The Jedi Masters,Rulers of Rome,PUB
Cyclops;;1984;tr;2003;-1;1569;602;2336;1640.79;DnB,Rulers of Rome,Hot Young Masters,HOWL Esports
LobodeLaNieve;;1995;mx;2011;-1;1200;4319;;1638.88;Combi
BlinG;SamayanKay ;1991;gb;2007;2021;1300;25;;1629;Viper
Jupe;;1995;fi;2012;-1;1475;898;2024;1624.64;The Jedi Masters,Suomi
Spaden;;1995;se;2010;-1;620;593;2216;1617.18;Lords of Skulls,Nadya's Boys,Run Forrest Run,Brazukas
Mununez;;;us;2022;-1;1590;1211;;1611.76;The Amigos
_Super_XuE;;;cn;;;;;;1598.44;
MING;;;hk;2017;-1;2255;789;2301;1559.07;White Wolf Palace
Feige;RediRodion ;;pl;;-1;1909;1452;;1556.5;mYinsanity
DreaIVIS;;;fi;2003;-1;244;27;2405;1556.12;CsI,DnB,StorM,TyRanT
Yasin;Yax;;tr;2008;-1;1954;1450;2049;1544.61;Hot Young Masters,HOWL Esports
Hammet;;;br;;;;;;1537.5;
KicK;;;es;;;;;;1531.91;ThuG Life
Sensar;;;us;2020;-1;736;766;;1513.33;
zyatou;;;jp;2001;2003;;;;1500;
Tamock;tamock_;;fr;2001;2002;;;;1500;RiZen
JackK;;1989;pl;2005;-1;2634;975;2226;1455.46;PL
ShiNe;Tsu_ShiNe,ShiNe_;;de;2004;2018;;;1681;1449.16;Tsunami
Melkor;Mattheus ;1996;ie;2011;2019;;;;1430.66;The Jedi Masters,Heresy
komtan;;1991;jp;2009;-1;2716;318;2170;1429.17;
PaTiN;;1985;ar;2011;-1;1658;1854;2199;1405.78;Sons of the Sun,Gaucho,Clan Arg
Sunset;;;fi;;-1;404;3098;;1404.85;The Wolf Pack
Whocl;;2001;cl;2017;-1;3908;2505;2300;1390.89;Imperiales Team,QueNaNiNa,Combi,Team Honor
Poisn;;;ca;2004;-1;122;755;;1380.96;Berserkers
Aluba;;1980;tw;2001;2002;;;;1379.77;
Twigg;;1997;ar;2014;-1;2533;195;2543;1376.53;DarkSidE
Wisepii;;1993;cl;2015;2023;1015;3430;2020;1363.25;InLove,Team Honor
uNLeAsHeD;Leash;1990;us;2001;-1;342;597;;1358.63;OMG,MorTaL,QuEnDi
jouds;;;de;2021;-1;512;1795;;1351.33;
FreakinChris;;;at;2020;-1;37;1036;;1350.81;Freakin
Survivalist;;1992;ca;2016;-1;10905;456;;1342.95;
Darknoob;;1992;nl;2013;-1;7076;2035;2295;1332.59;Clown Legion
Nacho;Riverplation;1995;ar;2012;-1;1461;244;;1300;
Ondrej94;;1994;sk;2012;-1;96;1629;;1296;
JuanNNN;Juan;;ar;;-1;6;278;;1295.33;Bots United,Clan Arg,Dreamers,WolfpacK
King Boo;King_boo;;gb;2020;-1;1611;2413;;1288.98;PUB
HamRTime;;;au;2019;-1;195;4;;1284.94;
Live4Son;;;hk;;-1;;;;1282;
_Cath_Bika;;;cn;;-1;;;;1266.67;
Boomerx_;;;kz;;-1;;;;1250;
prisma09;prisma;2006;ar;2021;-1;5068;2158;;1236.8;XEVER,DarkSidE
Pela;_pela_;1997;ar;2017;-1;3603;818;2126;1234.19;Dark Age Rules,DarkSidE
Wraith;;1988;fr;2001;2022;;;;1223.88;
ratS;;;hk;2004;2015;;;;1211.9;Poison of Zone
ElNoniro;;;pl;2020;-1;386;1655;;1199.17;
rAlbEr;;1982;es;2002;-1;1759;310;;1185.51;zilla,ThuG Life,Poison of Zone
Edie;;1997;fr;2009;-1;405;91;2516;1183.05;Poison of Zone,Heresy,Dreamers
Sologhost;SoloGhostAK47;;us;2023;-1;65;926;;1177.5;
El_Matador;El matador;1995;de;;-1;7938;1194;;1172.96;
cebdos;Miaou;1992;fr;2012;-1;21;1413;2156;1168.24;
PLP;;;fr;2021;-1;3844;472;;1164.52;Fox
Ovenka;;1997;cz;2013;-1;666;1829;1913;1158.15;CZ,Devil's Justice
JonSlow;TeRRoR;1987;il;2002;-1;7795;765;2354;1139.92;Rulers of Rome,Clown Legion
LB10;;1995;at;2013;-1;757;625;2252;1138.84;newChapter
Duck;;;cn;2005;2013;;;2158;1126.72;Ares,CyZ,CSC,Chinese Kung Fu
BT_002;;;cn;;;;;;1125;MyST
feng_yun;;;cn;;;;;;1125;MyST
Leozim;;;br;2007;-1;1291;1120;;1122.98;Sons of the Sun,KGB
cloud;;;hk;;;;;;1120.36;Poison of Zone
Abe;xMexicanx;;mx;2004;2012;;;;1120;ZoD,CsI,Rulers of Rome,Sons of the Sun
Ozone;;1996;co;2020;-1;13538;1268;;1119.98;
8th_wonder;;1990;lv;2009;-1;433;110;2284;1117.84;Malevolent,Nadya's Boys
Chero;;;es;;;;;;1115;ThuG Life
Mica;Mica_,Micav;1994;ar;2017;-1;839;743;1749;1110.63;Dark Age Rules,Team Maswi,Dreamers
Dench;;1992;ru;2012;-1;1788;2155;;1109.52;Vikings
Fresh To Death;;;ru;;-1;54;3708;;1109.16;
Air_feeling;feeling;;cn;2007;2010;;;;1087.66;Air
Feanor;feanor_,Timotheus;1998;ie;2011;2020;;;2306;1082.24;Nadya's Boys,The Jedi Masters,Heresy
SeekDefeat;;;sg;;;;;;1071.97;
kyo;;;hk;;;;;;1062.03;
Kongensgade;Kongen_42,kongen;1992;dk;;-1;6456;1527;2210;1046.18;
IGs;;;br;;;;;;1025;The Legion Clan
Chrazini;;1992;dk;2013;-1;48;3187;1918;1023.68;Anvil
Logan;;;br;;;;;;1010;KGB
Fire_de;fire,pg_fire;;de;2000;2002;2805;155;;1000;The Legion Clan,pG
Magi;;;ca;2000;2001;;;;1000;RiZen
Pepin;;;fr;;;;;;1000;
HenkDeSuperNerd;;1993;nl;2016;-1;44;1568;1717;1000;sQad
PhilippHJS;;1993;de;2010;-1;1409;2558;2009;991.58;newChapter
Tiggerr;;;ca;2021;-1;6875;2602;;978.6;Tuna's Wet Market
TheMadCADer;;;us;2012;-1;;;;950;
The Bloodless;;;us;2019;-1;;;;946.25;Clown Legion
StonePleaseAoE;stoneplease;;de;2016;-1;4633;597;1986;939.24;Heavy Duty
BL4CK;;1990;ar;2004;-1;6819;742;2350;934.41;Alliance
Shed;;1998;au;2017;-1;539;2566;2021;932.4;White Wolf Palace, PetGunPet
CX_youwei;_CX_youwei,youwei;1987;cn;2013;-1;;;2112;917.33;White Wolf Palace
emalius2;emalius,basil;1988;fi;2010;-1;2350;562;1879;913.49;Suomi
Girino;;;br;;;;;;912.5;
Mullisaukko;;;fi;2020;-1;2592;3567;;909.8;Suomi
Stick;;;kz;;;;;;900;
YangGe;;;cn;;;;;;900;
_nozuonodie_;;;cn;;;;;;900;
Zain;Zain_Naik;1994;au;2015;-1;108;1399;1929;896.58;The Jedi Masters,Send it Boys,Straya
Nahuel05;;2001;ar;2020;-1;3692;1744;;894.93;XEVER
Myx4ever;;;cn;;;;;;883.33;
Nazarea;;;de;;;;;;875;StorM
FletcheR;;;no;2002;2004;;;;875;StorM
Rise;;2002;it;2017;-1;3114;649;2082;869.55;Rulers of Rome
bvirus;bvirusZilla__;;pt;2003;2015;44;168;;861.67;zilla,DnB,Poison of Zone
Nick;;1989;gb;2008;-1;69;1009;1600;860.25;Nadya�s Boys, PUB
Youpudding;;;tw;2021;-1;388;886;;857.74;
Mundi;;;hk;;;;;;854.76;Poison of Zone
MrPlanner;Anze,Anze_XR;1997;si;2009;-1;1267;350;2000;853.15;Hot Young Masters
Rayzor;;;au;2017;-1;1717;883;2100;847.71;Straya
IamZak;;;us;;-1;124;578;;839.01;
hs;CNA_hs;;cn;;;;;;838.3;CNA
JohNNieW_aLc_eR;;1991;de;2010;;;;2009;837.42;
Kaydos;;1995;au;2017;-1;2146;1226;1699;833.33;Straya
Mists;;;cn;;-1;115;477;;832.5;
B1ade;seker;;ca;2003;2014;;;;822.5;TsC,The Legion Clan,The Immortals
AngelinaJolie;;1994;nl;2012;2021;2061;1679;2343;809.92;Rulers of Rome,PetGunPet,Infinity Legends
Nanimaren;;1991;it;2012;-1;3156;1023;2210;806.26;Rulers of Rome
c0LoRz;;;us;2008;2016;;;1611;805.37;QuEnDi 
Ubetnir;;;tr;2020;-1;1325;1670;;802.69;Hot Young Masters
gutter_rat;;;us;;;;;;800;
Inc;;1987;us;2003;-1;3659;3843;2132;796.25;CsI, DjiNN
Bulletchen;;1993;ch;2015;-1;372;291;1989;790.43;mYinsanity
Wean Dinchester;;;at;2020;-1;969;3601;;786.94;LACA
Acuo;_CCS_Acuo;;cn;;-1;;;;779.33;CCS, White Wolf Palace
Socksyy;;1997;au;2013;-1;1711;252;2107;773.94;Alliance,The Jedi Masters,Straya
Enzberg;;1990;de;2019;-1;4612;662;1733;770;
L3af;;1985;us;2007;-1;187;19;1600;764.2;QuEnDi,Nadya�s Boys
Hoang;;1990;vn;2013;-1;9509;769;2398;760;DarkSidE
Hadeo;;;ma;;-1;727;2335;;757.32;
RollsRoyce;;1992;vn;2014;2023;259;747;2039;757.25;Vietnam Legends
Joey the Bonqueror;;;gb;;-1;2051;1727;;750;
Derptus;;;ee;2003;2012;;;1901;750;NacL
Pi;;;nl;;;;;;750;
RFR_Kringle;;;se;;;;;;750;
Janik;;1996;cz;2014;2023;206;645;;747.98;CZ,Devil's Justice
Berlin;;;de;;;;;;745.83;
Uzikoti;;;fr;2021;-1;1511;609;;741.6;Fox
Canary;orion_huns;1982;jp;2004;-1;9357;990;;740.67;CsI
OfeliaAoE;Ofelia,Nomadic Tribe;1995;es;2014;2022;1021;38;;737.28;
TRM;;1989;ch;2002;-1;2750;1627;;736.95;
Target331;target;;de;2020;-1;1330;3436;;732.44;
_VG_KG;KG;1987;cn;2014;;;;2004;731.43;
World_Chief_dj;;;cn;;;;;;731.43;
Skull;;;cz;2006;-1;4017;2429;2063;727.75;CZ,Devil's Justice
NoLo;Nolofinwe;;tr;2020;-1;50;1136;;726.67;
OzaKoz;;;fr;;;;;;726.64;
Yoshi_Lum;;;jp;;;;;;725.67;
RD_ChampioN;Kimchisarang;1982;kr;2000;2002;;;;725;The Legion Clan,Slayers
Eli;eli_jeli;;us;2020;-1;2464;2165;;710;
GoldenEnd;GoldenAcid;;nl;;-1;873;475;;708.02;Rulers of Rome
Cortes__;;;at;;;;;;707.5;
Kedaxx;;;fr;2020;-1;997;1359;;707.18;
Britz_Nannia;;;gb;;;;;;704.63;
fangxiaoqi;;;cn;;;;;;704.46;
Lighty;;;fr;;-1;5852;1008;;703.5;Fox,OwneD
JazBas;;;nz;;;;;;698;
D3rp;;1995;nl;2016;-1;3000;2777;2121;697.31;Lunacy,Clown Legion
Rgeadn;;1993;gb;2012;-1;194;3178;2040;696.8;The Jedi Masters
leogrampy;;;de;;-1;1547;3134;;686.5;
speedlimit;;1996;ru;2015;-1;766;3703;;685.84;
loveloveloveme;;;cn;;;;;;683.33;
POL_north;;;cn;;;;;;683.33;
_LK_SkyWalkeR_;;;cn;;;;;;683.33;
???;;;cn;;;;;;680.5;
???;;;cn;;;;;;680.5;
Tushen;;;cn;;;;;;680.5;
???;;;cn;;;;;;680.5;
Steelbread69;;;ch;;-1;372;3792;;669.77;
Ning_;;1994;tw;2020;-1;1973;2556;;667.16;Age of Queens
_Cath_Areo;;;cn;;;;;;666.67;
Sletten;;;no;2010;2015;;;1984;665.6;BuzZ
_VG_longsan;;;cn;;;;;;660;
Bishop;;;ar;;;;;;650;
Tulendeena;;;au;2015;-1;779;3083;1625;648.69;
robo;robo_boro;1995;au;2013;-1;263;2378;1914;643.87;The Jedi Masters,Straya,sQad
deaKer;;;ar;2020;-1;5861;1753;;638.71;
Mango;;1990;cz;2010;-1;219;843;2000;637.17;CZ,Devil's Justice
GUKI;;2008;mx;2022;-1;1222;531;;636.56;Combi,Fox
Escape;;;jp;2010;2017;;;1969;633.75;Power of Japan
mratin;;1995;se;2014;-1;483;1482;1969;627.07;Run Forrest Run
Tobi;;;pt;;;;;;625;
Apple;;;cn;;;;;;625;
Elfanor;;;be;;;;;;625;
CID_Redstar;;;ch;;;;;;625;
ronotovi;;;tr;;-1;174;854;;614.83;
may;;;jp;;-1;212;729;;614.27;
Yu__;;;cn;;;;;;613.1;
shiXo.#;;;de;;-1;9400;1735;;610.35;
Strategist;;;au;;;;;;606.8;
ElMago;Mago;;ar;;-1;1264;1098;;603.33;
m0re;;;es;;-1;4497;1120;;601.45;
ZhaZ;;;se;;;;;;600;
TheChobo;;;kz;;;;;;600;
Hackl;;;de;;;;;;600;
?????;;;cn;;;;;;600;
Ppoc;ppoc;;es;;;;;;597.68;Olympus
Cienki;;;pl;;;;;;597.62;PL
Whack;;;us;;;;;;593.47;
DOOMSTER;;;in;;-1;2555;5029;;591.36;
HJFE;;;no;;-1;296;1905;;590;
Dooidy;;;cn;;-1;2067;378;;589.53;
Eminme_;;;cn;;;;;;583.33;
Tokiwa;;;jp;;;;;;581.57;
HASAR;;;kz;;;;;;575;
Sleep;;;hk;;;;;;571.43;
Lewis333;lewis;;gb;;-1;5405;627;;569.2;
Sleepyswede;;;se;;-1;56;2453;;568.58;
Solara;;;il;;-1;2976;412;;566.5;
Wolf_silver;;;fr;;-1;2461;1749;;565.81;
C3mbrich;;;es;;-1;1212;3099;;563.58;
Skittle;;;de;;-1;285;513;;562.56;
Chrisyboo;;;gb;;-1;18;284;;560;
UKAK_Mouse;;;gb;;;;;;553.64;
Player_Theta;;;us;;;;;;550;
scripter64;;;;;;;;;550;
poZ_Eason;;;hk;;;;;;548.93;
TieuQuy;;;vn;;-1;4625;224;;547.81;
Julinse;;;de;;-1;80;65;;547.13;
Noszombie;;;au;;-1;5096;2183;;546.83;
Salytmacska;;;hu;;-1;747;782;;546.09;
X2_;;;cn;;;;;;543.84;
Kellar;;;no;;-1;610;913;;543.81;
rona;;;jp;;;;;;543.67;
oyacchan;;;jp;;;;;;543.67;
BM;;;jp;;;;;;543.67;
moko;;;jp;;;;;;543.67;
teck;;;jp;;;;;;543.67;
squeak;;;hu;;-1;553;882;;543.18;
Ray;;;hk;;;;;;537.5;
?11;;;cn;;;;;;537.5;
????;;;cn;;;;;;537.5;
XinYunboy;;;cn;;;;;;535.71;
Yiniaoer;;;cn;;;;;;535.71;
Luca8761;;;ca;;-1;943;436;;535.4;Rulers of Rome
AR12;;;de;;-1;3692;2449;;529.53;
Scandalf;;;it;;;;;;528.13;
Rory;;;tw;;;;;;525.72;
Niroxs;;;ch;;;;;;525.67;
hellrazor;;;dz;;;;;;525;
novalily;;;vn;;;;;;524.29;
Nyusika;;;fr;;-1;2808;1408;;523.93;
ffavorite_1;;;us;;-1;2808;10;;519.51;
glokken;;;nl;;-1;1696;944;;518.67;
Error;;;cz;;;;;;517.51;Devil's Justice
SUD_Tkenobi;;;ar;;;;;;500;
Darq_Ladywoogy;;;au;;;;;;500;
_VG_YouShang;;;cn;;;;;;500;
Gaodi;;;cn;;;;;;500;
DevilZ_Vasago;;;us;;;;;;500;
zjoe0;;;us;;;;;;500;
Mingudai;;;uy;;-1;695;267;;500;
kelar;;;de;;-1;1026;552;;495.06;
Geen;;;ca;;;;;;493.04;
Hasan;raiden;;us;;-1;367;956;;492.47;
Nixishin;;;ru;;-1;566;1659;;492.25;
Sir Explosive Hopper;;;us;;-1;168;1309;;491.67;
Capout;;;fr;;-1;1887;1791;;486.32;
LePos�idon;;;fr;;-1;1571;1695;;484.32;
xiaohai;;;cn;;-1;7702;1861;;478.75;LHD
Tointoin;;;fr;;-1;368;1864;;477.24;
GoB;;;fr;;;;;;474.37;
kw;;;tw;;-1;1785;3402;;473.11;
Snapy;;;co;;-1;591;930;;471.25;
chaos_2_win;;;de;;-1;2403;1279;;469.24;
PRieST;;;au;;;;;;464.29;
MrTempo;;;pe;;-1;4499;1560;;464.29;
Believe_Me;;;by;;;;;;462.71;
Adham;Adam,Xhing;;us;;-1;1832;1219;;460.74;
ashleylynn;;;us;;-1;3573;3147;;460;
GLX_Rusher;;;tr;;-1;5500;1080;;454.05;
Moczymorda;GeNeRaL_Z;;mt;2003;-1;1454;35;;453.33;Rulers of Rome
Funny_Liquid;;;il;;-1;237;18;;453.3;
roggy;;;tr;;-1;695;1565;;450.83;
Future_;;;de;;;;;;450;
The Otter One;;;de;;-1;1279;302;;448.18;
darvoi;;;gb;;-1;727;1042;;447.72;
Coffee2019;;;cn;;;;;;446;
CN-PUPY;;;cn;;;;;;446;
??;;;cn;;;;;;446;
Stefan;;;de;;-1;153;227;;445.61;
_qiu;;;cn;;;;;;442.14;
champsdugros;;;ch;;-1;1892;1843;;441.94;
Benpat;;;fr;;-1;3211;862;;441.56;
DragonBo;;;hk;;-1;379;635;;439.03;
Carbo;;;ar;;-1;4848;1440;;438.03;
madou;;;jp;;;;;;436.33;
okayu;;;jp;;;;;;436.33;
poll;;;jp;;;;;;436.33;
VicVega;;;mx;;;;;;433.93;
_pedro___;;;de;;;;;;433.39;
Erich M�ller;;;de;;-1;1172;801;;433.19;
Huehuecoyotl22;;;dk;;;;;;431;
SonyToprano;;;tr;;-1;5067;284;;428.96;
Dobbs351;;;dk;;-1;5241;472;;425.53;
Odette;;;cz;;-1;1253;589;;419;
????;ShenMing;;cn;;-1;663;208;;417.33;
Kanon;;;cn;;;;;;417.33;
????;;;cn;;;;;;417.33;
Abai;;;cn;;;;;;416.67;
_EMA_Kiss;;;cn;;;;;;416.67;
Jax_;;;cn;;;;;;416.66;
TeMo;;;ma;;-1;1035;1037;;415.72;
Juyhou;;;fi;;-1;476;1280;;414.39;
Chocobo;toko;;jp;;-1;186;461;;413.75;Power of Japan
dodonpa;;;jp;;;;;;413.75;
DemonSheep;;;tw;;-1;2160;1263;;411.38;
Zetnus;;;de;;-1;248;50;;408;
Dfx2;;;fr;;-1;2656;2548;;406.68;
_FJ_psNps;;;cn;;;;;;406.44;
Jerry;;;us;;-1;670;401;;405.06;
dave_hun;;;hu;;-1;3779;725;;403;
Kougrialka;;;fr;;-1;216;787;;400.63;
SiFly;;;nl;;-1;16;36;;400;
banztenak_19;;;de;;-1;667;2203;;400;
Whistler;;;us;;-1;221;81;;400;
Keldim;;;ar;;-1;1352;81;;400;
MyteaLlama;;;us;;;;;;400;
Ass_Kickerwa;SuperMamaReddy;;in;;-1;613;2317;;397.22;
